,Ancestral sequences,ailuropoda_melanoleuca,anas_platyrhynchos,anolis_carolinensis,astyanax_mexicanus,bos_taurus,caenorhabditis_elegans,callithrix_jacchus,canis_familiaris,cavia_porcellus,chlorocebus_sabaeus,choloepus_hoffmanni,ciona_intestinalis,ciona_savignyi,danio_rerio,dasypus_novemcinctus,dipodomys_ordii,drosophila_melanogaster,echinops_telfairi,equus_caballus,erinaceus_europaeus,felis_catus,ficedula_albicollis,gadus_morhua,gallus_gallus,gasterosteus_aculeatus,gorilla_gorilla,homo_sapiens,ictidomys_tridecemlineatus,latimeria_chalumnae,lepisosteus_oculatus,loxodonta_africana,macaca_mulatta,macropus_eugenii,meleagris_gallopavo,microcebus_murinus,monodelphis_domestica,mus_musculus,mustela_putorius_furo,myotis_lucifugus,nomascus_leucogenys,ochotona_princeps,oreochromis_niloticus,ornithorhynchus_anatinus,oryctolagus_cuniculus,oryzias_latipes,otolemur_garnettii,ovis_aries,pan_troglodytes,papio_anubis,pelodiscus_sinensis,petromyzon_marinus,poecilia_formosa,pongo_abelii,procavia_capensis,pteropus_vampyrus,rattus_norvegicus,saccharomyces_cerevisiae,sarcophilus_harrisii,sorex_araneus,sus_scrofa,taeniopygia_guttata,takifugu_rubripes,tarsius_syrichta,tetraodon_nigroviridis,tupaia_belangeri,tursiops_truncatus,vicugna_pacos,xenopus_tropicalis,xiphophorus_maculatus
LG12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36423764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17115052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32369425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10642048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21174446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32595267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15682605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9910484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68575853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109741,,,,,,,,
LG20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14739584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15143781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11620783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17039836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9492101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14387843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13772684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15260519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5380255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56798892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73198282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51417047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16416,,,,,,,,
LG6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40768737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50812227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50348508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53241385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGa,,,,7025928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGb,,,,3271537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGc,,,,9478905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGd,,,,1094478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGf,,,,4257874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGg,,,,424765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGh,,,,248369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,,16805.0,,17223,,16338.0,,,16727,16801.0,16550,,14790.0,,16596.0,,,,16549.0,16660,17447.0,17009,16787.0,,16775.0,15742.0,16412.0,16569.0,,16407.0,16330,16866.0,16564.0,,16719,,17079.0,16299.0,,,,16481.0,,17019,17245.0,16714.0,,16616.0,16554,16516.0,17364.0,,,16499.0,16743.0,,16313.0,,16627.0,,16613.0,16853,16447.0,17004.0,16462.0,16754.0,16388.0,16652.0,,
Mito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85779,,,,,,,,,,,,
U,,,,,,,,,,,,,,,,,,10049037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
