sim	gammaShape	gammaScale	cumAbs
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.24161677367
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.14526309647
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.20950139441
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.21553021037
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.21257765392
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.22409976419
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.19851716047
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.17299776039
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.2286092962
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.15476225558
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.20857918676
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.20428687891
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.18503064649
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.21422814498
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.21540120963
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.17000434477
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.24538149617
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.18759616899
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.20126061574
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.15433146673
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.18326929353
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.1612768105
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.16620823686
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.19157419838
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.26255592255
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.19251392507
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.23987688582
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.225246986
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.2056577295
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.15709532971
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.19862948631
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.2374468254
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.21402912944
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.24086093953
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.19803550968
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.22606920435
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.20804946609
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.2038963934
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.19890233862
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.21275683858
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.20781230633
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.22775966519
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.15552994346
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.13390710891
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.19473259556
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.18817065989
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.19581718284
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.16412894034
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.19893445772
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.20393390971
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.17600235421
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.17724876981
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.21006140449
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.20358861095
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.18221394562
