sim	gammaShape	gammaScale	cumAbs
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.34735469065
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.33693614867
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.27489245225
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.34245396908
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.3562466037
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.29099716065
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.3669397089
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.3548439976
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.31322272443
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.31465543464
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.32419722456
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.34454872177
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.3167334341
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.29242056145
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.32988663129
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.25034879962
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.2988827045
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.33099711282
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.28734076612
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.30247826685
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.33196665611
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.27618954563
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.32764269189
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.35553442498
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.32744416952
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.37297001482
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.31497752456
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.30695367624
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.31679840285
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.32164610588
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.29537598808
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.30527909853
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.28934991518
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.30305850244
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.38217598656
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.36417130345
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.26371566406
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.35341505989
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.31225443502
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.34174317445
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.29981036311
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.34729201081
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.39412974813
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.30920851547
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.31492159765
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.32908006039
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.41954170633
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.33339297082
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.34043805564
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.29675938871
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.31657622688
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.34177926422
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.29957628149
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.30416814711
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.4039843746
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.3345913056
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.31492148208
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.32226056961
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.32902135339
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.33081353013
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.32431498855
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.34111875319
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.28716495236
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.30900419453
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.30805575887
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.32266629246
ABC_820/ABCOpt49/7/	1.0	178.665064818	-2.33517986828
