sim	gammaShape	gammaScale	cumAbsMean	cumRelMean	HS-MM_mean	HS-MM_min	HS-MM_max
ABC_55/ABCOpt/7/	1.0	23.4946237131	0.566634158101	1.09385458076	-0.454591454555	-0.672457610743	-0.301460687323
ABC_63/ABCOpt/7/	1.0	111.839667064	0.5440098035	1.06938467847	-0.437236921353	-0.600511682561	-0.282162693421
ABC_63/ABCOpt1/7/	1.0	74.2280321024	0.558666562034	1.08517381763	-0.438817636843	-0.641778550803	-0.245071606426
ABC_7/ABCOpt/7/	1.0	81.6343584435	0.556402302641	1.08271948229	-0.448933543196	-0.617580934003	-0.28183609852
ABC_7/ABCOpt1/7/	1.0	38.5614443072	0.559108984758	1.08565402941	-0.459861352165	-0.648965537395	-0.309288355581
ABC_820/ABCOpt/7/	1.0	54.9328962352	0.55007332322	1.07588861199	-0.443212140967	-0.664914916441	-0.274155489597
ABC_820/ABCOpt1/7/	1.0	229.236743126	0.518383239482	1.0423281867	-0.428429223284	-0.682688421846	-0.24665981024
ABC_820/ABCOpt10/7/	1.0	16.7409298349	0.5763540829	1.10453860486	-0.478073569747	-0.672865574929	-0.302487008412
ABC_820/ABCOpt11/7/	1.0	161.782683672	0.534779729234	1.05955959136	-0.418996442489	-0.643796379759	-0.268109087807
ABC_820/ABCOpt12/7/	1.0	76.0205589838	0.546032487739	1.07154989504	-0.435619948286	-0.626659180584	-0.294278437472
ABC_820/ABCOpt13/7/	1.0	12.6556297558	0.576896679107	1.10513808594	-0.463652293694	-0.78838712939	-0.297792608389
ABC_820/ABCOpt14/7/	1.0	115.183463451	0.559189325764	1.08574125545	-0.443171523893	-0.619512370019	-0.302680366449
ABC_820/ABCOpt15/7/	1.0	156.390962865	0.539609446737	1.06468934252	-0.434528725342	-0.673840489323	-0.257578684064
ABC_820/ABCOpt16/7/	1.0	140.853916073	0.538523626053	1.06353390822	-0.419474743937	-0.641404179906	-0.234870766257
ABC_820/ABCOpt17/7/	1.0	106.573554046	0.54980413768	1.07559903731	-0.429649832483	-0.584265540883	-0.265255811691
ABC_820/ABCOpt18/7/	1.0	66.3860495402	0.554780092063	1.08096450715	-0.462142215361	-0.645941847026	-0.273512581856
